:16:08
T:29.8°C -- T2:28.7°C -- HR:73.1 08/09/2021 10:19:29
T:29.8°C -- T2:28.7°C -- HR:73.2 08/09/2021 10:19:50
T:30.0°C -- T2:29.0°C -- HR:70.7 08/09/2021 10:20:11
T:30.0°C -- T2:28.7°C -- HR:72.4 08/09/2021 10:20:32
T:29.9°C -- T2:28.6°C -- HR:72.9 08/09/2021 10:20:53
T:30.0°C -- T2:29.0°C -- HR:70.8 08/09/2021 10:21:14
T:30.0°C -- T2:28.6°C -- HR:72.7 08/09/2021 10:21:35
T:30.0°C -- T2:28.7°C -- HR:72.7 08/09/2021 10:21:56
T:30.0°C -- T2:29.0°C -- HR:70.7 08/09/2021 10:22:17
T:29.8°C -- T2:28.8°C -- HR:73.2 08/09/2021 10:22:38
T:29.8°C -- T2:28.8°C -- HR:73.0 08/09/2021 10:22:59
T:30.0°C -- T2:29.0°C -- HR:70.7 08/09/2021 10:23:20
T:29.9°C -- T2:28.8°C -- HR:72.9 08/09/2021 10:23:41
T:29.8°C -- T2:28.8°C -- HR:73.2 08/09/2021 10:24:02
T:30.1°C -- T2:29.0°C -- HR:70.7 08/09/2021 10:24:23
T:30.0°C -- T2:28.8°C -- HR:71.8 08/09/2021 10:24:44
T:29.9°C -- T2:28.7°C -- HR:73.3 08/09/2021 10:25:05
T:29.8°C -- T2:28.8°C -- HR:73.6 08/09/2021 10:25:26
T:30.0°C -- T2:29.0°C -- HR:71.1 08/09/2021 10:25:47
T:29.9°C -- T2:28.9°C -- HR:72.0 08/09/2021 10:26:08
T:29.7°C -- T2:28.7°C -- HR:73.8 08/09/2021 10:26:29
T:30.0°C -- T2:29.0°C -- HR:71.5 08/09/2021 10:26:50
T:30.1°C -- T2:28.9°C -- HR:71.4 08/09/2021 10:27:11
T:29.9°C -- T2:28.6°C -- HR:73.2 08/09/2021 10:27:32
T:30.0°C -- T2:29.0°C -- HR:71.0 08/09/2021 10:27:53
T:30.0°C -- T2:28.7°C -- HR:72.4 08/09/2021 10:28:14
T:30.0°C -- T2:28.5°C -- HR:74.1 08/09/2021 10:28:35
T:30.0°C -- T2:29.0°C -- HR:71.5 08/09/2021 10:28:56
T:30.1°C -- T2:28.9°C -- HR:71.3 08/09/2021 10:29:17
T:30.0°C -- T2:28.7°C -- HR:73.0 08/09/2021 10:29:38
T:29.9°C -- T2:28.9°C -- HR:71.7 08/09/2021 10:29:59
T:30.0°C -- T2:28.8°C -- HR:71.6 08/09/2021 10:30:20
T:29.9°C -- T2:28.5°C -- HR:73.2 08/09/2021 10:30:41
T:29.9°C -- T2:28.9°C -- HR:71.2 08/09/2021 10:31:03
T:30.0°C -- T2:28.8°C -- HR:72.1 08/09/2021 10:31:23
T:29.9°C -- T2:28.5°C -- HR:74.5 08/09/2021 10:31:45
T:29.9°C -- T2:28.9°C -- HR:72.2 08/09/2021 10:32:06
T:30.1°C -- T2:29.0°C -- HR:70.8 08/09/2021 10:32:27
T:30.1°C -- T2:28.6°C -- HR:73.0 08/09/2021 10:32:47
T:30.0°C -- T2:28.9°C -- HR:71.9 08/09/2021 10:33:09
T:30.0°C -- T2:29.0°C -- HR:71.2 08/09/2021 10:33:29
T:29.9°C -- T2:28.7°C -- HR:73.4 08/09/2021 10:33:50
T:30.0°C -- T2:28.9°C -- HR:71.8 08/09/2021 10:34:11
T:30.0°C -- T2:29.0°C -- HR:71.5 08/09/2021 10:34:32
T:29.8°C -- T2:28.8°C -- HR:73.4 08/09/2021 10:34:53
T:29.9°C -- T2:28.9°C -- HR:71.3 08/09/2021 10:35:14
T:30.0°C -- T2:29.0°C -- HR:71.2 08/09/2021 10:35:35
T:29.8°C -- T2:28.8°C -- HR:72.7 08/09/2021 10:35:56
T:29.8°C -- T2:28.7°C -- HR:73.6 08/09/2021 10:36:17
T:29.9°C -- T2:28.9°C -- HR:72.1 08/09/2021 10:36:38
T:30.0°C -- T2:29.0°C -- HR:70.9 08/09/2021 10:36:59
T:29.9°C -- T2:28.8°C -- HR:72.7 08/09/2021 10:37:20
T:29.9°C -- T2:28.8°C -- HR:72.3 08/09/2021 10:37:42
T:30.0°C -- T2:29.0°C -- HR:71.0 08/09/2021 10:38:02
T:30.0°C -- T2:29.0°C -- HR:71.3 08/09/2021 10:38:24
T:29.9°C -- T2:28.9°C -- HR:72.8 08/09/2021 10:38:45
